sa2_code,sa2_name,state,sa4_name,composite_score_final,v9_national_rank,high_pressure_v9,urban_renewal_score,years_of_growth
209041225,Whittlesea,VIC,Melbourne - North East,10.723772891537354,1,1,0.9697658892255455,22
126021500,Macquarie Park - Marsfield,NSW,Sydney - Ryde,10.723039238181796,2,1,1.7749784995212594,21
311041569,Greenbank - North Maclean,QLD,Logan - Beaudesert,10.721771712550288,3,1,1.2274617375663917,22
502011027,Mandurah - North,WA,Mandurah,10.608589407089704,4,1,1.0881207060382059,22
507021165,Fremantle,WA,Perth - South West,10.565865330292603,5,1,2.389559155151799,22
206011496,Brunswick - South,VIC,Melbourne - Inner,10.549903996953098,6,1,1.4037350375571906,20
507051312,Baldivis - North,WA,Perth - South West,10.531353025331999,7,1,0.9950203200920195,22
210041540,Sunbury - South,VIC,Melbourne - North West,10.523307491601429,8,1,1.1837216322468516,22
402021032,Munno Para West - Angle Vale,SA,Adelaide - North,10.512253421084154,9,1,1.250575660080094,22
309071253,Hope Island,QLD,Gold Coast,10.435652144769845,10,1,0.8678522244619048,22
213031348,Footscray,VIC,Melbourne - West,10.415043004217273,11,1,2.9342610085305942,21
125041717,Parramatta - North,NSW,Sydney - Parramatta,10.390230802694157,12,1,1.2128939674134651,21
213041359,Rockbank - Mount Cottrell,VIC,Melbourne - West,10.377620888222767,13,1,0.938884244848785,22
107041548,Wollongong - East,NSW,Illawarra,10.361332048799431,14,1,2.1820685151188863,21
316021580,Caloundra West - Baringa,QLD,Sunshine Coast,10.35490257947464,15,1,1.471511361082431,22
305011108,Kangaroo Point,QLD,Brisbane Inner City,10.348888702443487,16,1,3.170238664533213,22
125031714,Merrylands - Holroyd,NSW,Sydney - Parramatta,10.338111000821456,17,1,1.9447304541346617,21
309101561,Surfers Paradise - North,QLD,Gold Coast,10.331262758787881,18,1,1.1840572808456096,21
310031294,Ripley,QLD,Ipswich,10.325084799242724,19,1,1.0899684358440793,22
210051445,Mickleham - Yuroke,VIC,Melbourne - North West,10.320315962336947,20,1,1.3010427976917136,21
209041437,Wollert,VIC,Melbourne - North East,10.317913615925765,21,1,1.201685283975957,20
311041570,Jimboomba - Glenlogan,QLD,Logan - Beaudesert,10.302064448378406,22,1,1.0228224546646272,22
206041118,Docklands,VIC,Melbourne - Inner,10.300569348515973,23,1,2.2237622723275408,21
119031664,Hurstville - Central,NSW,Sydney - Inner South West,10.284684981959174,24,1,2.0230977459284296,21
209041224,Wallan,VIC,Melbourne - North East,10.281872399013183,25,1,0.8274606483722766,22
506011110,Armadale - Wungong - Brookdale,WA,Perth - South East,10.28140749770501,26,1,1.0168370198031829,18
311041568,Flagstone (West) - New Beith,QLD,Logan - Beaudesert,10.244153046638868,27,1,0.7827475485936533,22
401021007,Mount Barker,SA,Adelaide - Central and Hills,10.241985369487114,28,1,0.8316851674686973,22
213051468,Werribee - West,VIC,Melbourne - West,10.238806254287471,29,1,0.8406258618767127,21
503021297,Perth (West) - Northbridge,WA,Perth - Inner,10.231898855686438,30,1,2.049121256176163,22
303031064,Rochedale - Burbank,QLD,Brisbane - South,10.216841065815196,31,1,1.2210166176583637,21
504031299,Brabham - Henley Brook,WA,Perth - North East,10.212332283950175,32,1,1.2790928549440819,19
506021123,Victoria Park - Lathlain - Burswood,WA,Perth - South East,10.17560593663921,33,1,2.0947297535307863,21
402021035,Virginia - Waterloo Corner,SA,Adelaide - North,10.174622017150101,34,1,0.7421864496666419,22
107031136,Albion Park - Macquarie Pass,NSW,Illawarra,10.168468420864441,35,1,0.7220538620150008,22
106021618,Thornton - Millers Forest,NSW,Hunter Valley exc Newcastle,10.15915129255942,36,1,0.7823995432010906,22
106011107,Branxton - Greta - Pokolbin,NSW,Hunter Valley exc Newcastle,10.153219837082847,37,1,0.891344188817251,22
207011520,Hawthorn - South,VIC,Melbourne - Inner East,10.14590461777396,38,1,3.5510250633885305,20
311031313,Chambers Flat - Logan Reserve,QLD,Logan - Beaudesert,10.142923318071066,39,1,0.731320730854964,22
310041302,Redbank Plains,QLD,Ipswich,10.140249943797011,40,1,1.5408249424568785,21
311031311,Boronia Heights - Park Ridge,QLD,Logan - Beaudesert,10.13185052560116,41,1,0.683404125329867,22
507051313,Baldivis - South,WA,Perth - South West,10.130956915850016,42,1,0.7767820575472554,22
203031489,Barwon Heads - Armstrong Creek,VIC,Geelong,10.122164405583248,43,1,0.8273298636598535,22
505031257,Two Rocks,WA,Perth - North West,10.115195931715057,44,1,0.9733252581980436,22
213041574,Fraser Rise - Plumpton,VIC,Melbourne - West,10.105578415674051,45,1,0.8622696782787471,21
107011132,Horsley - Kembla Grange,NSW,Illawarra,10.105031542552728,46,1,0.9544307166105667,22
127011505,Austral - Greendale,NSW,Sydney - South West,10.096774462196464,47,1,0.9197370996448244,15
212031556,Clyde North - South,VIC,Melbourne - South East,10.091443294957486,48,1,0.8627438747736571,21
319011493,Bargara - Burnett Heads,QLD,Wide Bay,10.077003765472556,49,1,1.2097938429430073,22
111031229,Newcastle - Cooks Hill,NSW,Newcastle and Lake Macquarie,10.05208737368328,50,1,1.7022738071895618,22
212011546,Beaconsfield - Officer,VIC,Melbourne - South East,10.042486993005678,51,1,0.7686724279340252,22
127011729,Oran Park,NSW,Sydney - South West,10.039542621928046,52,1,1.187703212815758,18
313041374,Morayfield,QLD,Moreton Bay - North,10.033602546612206,53,1,0.9741132467654237,18
212031303,Cranbourne South,VIC,Melbourne - South East,10.029523530178674,54,1,0.7627069369042246,21
503021042,Subiaco - Shenton Park,WA,Perth - Inner,10.010708148632638,55,1,2.5745643027794847,21
206031115,Flemington,VIC,Melbourne - Inner,10.010485095699252,56,1,2.761630805917759,16
213051589,Wyndham Vale - North,VIC,Melbourne - West,9.99680895447118,57,1,0.7636724404475637,22
116021632,Schofields - East,NSW,Sydney - Blacktown,9.994034292598624,58,1,1.0477635434195158,16
210051246,Greenvale - Bulla,VIC,Melbourne - North West,9.976344352939124,59,1,0.7681916414816525,22
507031261,Casuarina - Wandi,WA,Perth - South West,9.974673225851094,60,1,0.7463982010173816,22
206041509,Southbank - East,VIC,Melbourne - Inner,9.949722184108957,61,1,1.4293741088260425,21
505031255,Alkimos - Eglinton,WA,Perth - North West,9.946704482706693,62,1,1.3447061219104706,16
123031447,Picton - Tahmoor - Buxton,NSW,Sydney - Outer South West,9.939434605255121,63,1,0.643444952365486,22
507031169,Wellard (West) - Bertram,WA,Perth - South West,9.932909867247007,64,1,0.7175434071866941,22
213051582,Tarneit (West) - Mount Cottrell,VIC,Melbourne - West,9.925441924171908,65,1,1.4545403605167688,17
127031730,Edmondson Park,NSW,Sydney - South West,9.913609471698924,66,1,1.5620889862062957,17
506011308,Piara Waters - Forrestdale,WA,Perth - South East,9.906609626425714,67,1,0.7591356777001024,20
314021578,Mango Hill,QLD,Moreton Bay - South,9.900947716575823,68,1,1.0360503310814477,22
311021310,Wolffdene - Bahrs Scrub,QLD,Logan - Beaudesert,9.889110435560589,69,1,0.6281438775173358,22
126021503,West Ryde - Meadowbank,NSW,Sydney - Ryde,9.863500128195142,70,1,1.6159449759231959,20
309021234,Palm Beach,QLD,Gold Coast,9.85530717556187,71,1,0.7343500861556623,22
119041671,Wolli Creek,NSW,Sydney - Inner South West,9.846952644337586,72,1,2.281975944378,21
203021485,Charlemont,VIC,Geelong,9.845261068900598,73,1,0.7583149286795743,21
313021572,Caboolture - East,QLD,Moreton Bay - North,9.824945354822153,74,1,2.133207045330154,21
505031258,Yanchep,WA,Perth - North West,9.812136089150906,75,1,0.6700697174542479,22
316031427,Maroochydore - Kuluin,QLD,Sunshine Coast,9.775805148599094,76,1,1.1672646299383453,22
801041040,Gungahlin,ACT,Australian Capital Territory,9.764245773099477,77,1,2.259824850627822,22
209021428,Preston - East,VIC,Melbourne - North East,9.764087017209588,78,1,0.9431949269191895,20
213031349,Maribyrnong,VIC,Melbourne - West,9.764081472225987,79,1,3.9260641463232493,21
313021366,Caboolture - South,QLD,Moreton Bay - North,9.726439286849033,80,1,0.8446781149523406,22
206011497,Coburg - East,VIC,Melbourne - Inner,9.714345948974982,81,1,3.5759153222372966,20
116021630,Riverstone,NSW,Sydney - Blacktown,9.705550834701253,82,1,0.8532187276018246,17
117031647,Waterloo,NSW,Sydney - City and Inner South,9.65187396861164,83,1,2.331210586858086,21
116021629,Marsden Park - Shanes Park,NSW,Sydney - Blacktown,9.650186913677317,84,1,0.8238897377660489,16
505031306,Wanneroo - Sinagra,WA,Perth - North West,9.646428307288632,85,1,1.3187118240561333,20
203021487,Grovedale - Mount Duneed,VIC,Geelong,9.637036432381732,86,1,0.6203918575328831,22
123031446,Douglas Park - Appin,NSW,Sydney - Outer South West,9.607170928233474,87,1,0.5784391012927039,22
403021061,Mitchell Park,SA,Adelaide - South,9.566793289019758,88,1,0.9410427469492495,22
506021118,Belmont - Ascot - Redcliffe,WA,Perth - South East,9.563375211765834,89,1,2.1091942020452885,21
127011728,Leppington - Catherine Field,NSW,Sydney - South West,9.557506773341402,90,1,0.7086151917760183,18
115041623,Box Hill - Nelson,NSW,Sydney - Baulkham Hills and Hawkesbury,9.546660021370126,91,1,1.041663181973697,13
213051584,Tarneit - North,VIC,Melbourne - West,9.543352064797455,92,1,0.8570640174401439,15
117031648,Zetland,NSW,Sydney - City and Inner South,9.543111752739682,93,1,3.1261539962176768,22
106021615,Rutherford (North) - Aberglasslyn,NSW,Hunter Valley exc Newcastle,9.51045057050972,94,1,1.1860720397421594,22
124031464,Penrith,NSW,Sydney - Outer West and Blue Mountains,9.462397182055298,95,1,1.2211268719679724,20
205011079,Warragul,VIC,Latrobe - Gippsland,9.450018461663579,96,1,1.0043945731875594,22
206071143,Fitzroy North,VIC,Melbourne - Inner,9.429835065331028,97,1,2.496964356501747,20
213021344,Newport,VIC,Melbourne - West,9.428603071417237,98,1,1.2253271102451242,20
111021218,Morisset - Cooranbong,NSW,Newcastle and Lake Macquarie,9.428356920125447,99,1,0.5810264664089758,22
208011172,Hampton,VIC,Melbourne - Inner South,9.421904385749325,100,1,1.65107224519899,21
801091109,Phillip,ACT,Australian Capital Territory,9.398426005909206,101,1,0.6844273407896011,21
203021043,Lara,VIC,Geelong,9.363040844024482,102,1,0.531632336532327,22
108041164,Port Macquarie - West,NSW,Mid North Coast,9.348957568850475,103,1,0.6878575002965827,22
206051128,Albert Park,VIC,Melbourne - Inner,9.281450416373092,104,1,2.571183017211818,20
801011002,Belconnen,ACT,Australian Capital Territory,9.259270610111818,105,1,1.4239904802034815,22
206061136,Prahran - Windsor,VIC,Melbourne - Inner,9.249779734553911,106,1,1.2020299254328803,17
213051586,Truganina - North,VIC,Melbourne - West,9.24324677242488,107,1,0.5564423036202459,19
116011303,Blacktown (East) - Kings Park,NSW,Sydney - Blacktown,9.228726916306332,108,1,3.619846434787879,19
206051511,Port Melbourne Industrial,VIC,Melbourne - Inner,9.218068999139753,109,1,0.7919341167496773,19
503021296,Perth (North) - Highgate,WA,Perth - Inner,9.206236614391502,110,1,1.620358256242154,20
311041571,Yarrabilba,QLD,Logan - Beaudesert,9.181788702753904,111,1,0.618423290386312,18
303021059,Yeronga,QLD,Brisbane - South,9.145397228237762,112,1,3.907977165387295,22
126011721,Epping (NSW) - West,NSW,Sydney - Ryde,9.135100015451764,113,1,3.290514209528209,19
206071145,Clifton Hill - Alphington,VIC,Melbourne - Inner,9.121359289503433,114,1,0.7104124181583111,21
801101136,Denman Prospect,ACT,Australian Capital Territory,9.104338200594757,115,1,1.4453397037588553,7
106021114,Maitland,NSW,Hunter Valley exc Newcastle,9.098561871869743,116,1,1.284806654047899,22
309091540,Southport - North,QLD,Gold Coast,9.076845628361527,117,1,1.689529612132512,22
213051579,Manor Lakes - Quandong,VIC,Melbourne - West,9.074566863371667,118,1,0.575952571133275,22
505031105,Mindarie - Quinns Rocks - Jindalee,WA,Perth - North West,9.070564100458975,119,1,0.6043492297529183,20
206071517,Richmond (South) - Cremorne,VIC,Melbourne - Inner,9.05551847405442,120,1,1.1875658362811103,19
208011170,Brighton East,VIC,Melbourne - Inner South,9.055193959780336,121,1,1.5897449832741617,21
313041373,Deception Bay,QLD,Moreton Bay - North,9.0488975091223,122,1,1.9804538668770786,19
125041491,Northmead,NSW,Sydney - Parramatta,9.041294340473407,123,1,1.516569187289498,18
404011097,Woodville - Cheltenham,SA,Adelaide - West,9.039941981015568,124,1,1.3309281470212708,22
117021328,Sydenham - Tempe - St Peters,NSW,Sydney - City and Inner South,9.035650116329272,125,1,2.3154409433021272,19
117011323,Pagewood - Hillsdale - Daceyville,NSW,Sydney - City and Inner South,9.033246227633441,126,1,1.9115861834726824,18
120011673,Rhodes,NSW,Sydney - Inner West,9.031860641510582,127,1,2.8009874364281018,17
309011225,Burleigh Heads,QLD,Gold Coast,9.025158545841613,128,1,1.3311625115125014,21
305011112,West End,QLD,Brisbane Inner City,9.002807771718944,129,1,0.9244711729082629,22
502011026,Mandurah - East,WA,Mandurah,9.00185676236764,130,1,0.902146212509937,22
123021444,Rosemeadow - Glen Alpine,NSW,Sydney - Outer South West,8.97882895839028,131,1,1.1501570866704176,12
305021115,East Brisbane,QLD,Brisbane Inner City,8.978343449644466,132,1,1.83357985420816,21
404011093,Hindmarsh - Brompton,SA,Adelaide - West,8.957039441450632,133,1,2.5110639353310336,22
121041414,Crows Nest - Waverton,NSW,Sydney - North Sydney and Hornsby,8.919246758919153,134,1,1.251438195557077,17
117031330,Erskineville - Alexandria,NSW,Sydney - City and Inner South,8.918925687974086,135,1,1.216547760250849,21
212021553,Berwick - South East,VIC,Melbourne - South East,8.840236057225189,136,1,0.4469978844587034,22
313051378,Margate - Woody Point,QLD,Moreton Bay - North,8.82300811390903,137,1,1.954515234616478,19
208011171,Highett (West) - Cheltenham,VIC,Melbourne - Inner South,8.813602744739397,138,1,1.0946914864042754,21
401061021,Prospect,SA,Adelaide - Central and Hills,8.813324503472847,139,1,1.3481587593610553,20
309081559,Robina - East,QLD,Gold Coast,8.771958627472914,140,1,1.824690372394431,22
211051275,Chirnside Park,VIC,Melbourne - Outer East,8.753856072442495,141,1,3.8653610501787803,21
504031057,Beechboro,WA,Perth - North East,8.733509074913721,142,1,0.4665403206278893,22
319051522,Burrum - Fraser,QLD,Wide Bay,8.723044776647706,143,1,0.9104120278384107,22
208011173,Sandringham - Black Rock,VIC,Melbourne - Inner South,8.703523452820173,144,1,1.7636703883977318,19
401031013,Toorak Gardens,SA,Adelaide - Central and Hills,8.695991332062812,145,1,1.0889948482408014,20
213041578,Melton South - Weir Views,VIC,Melbourne - West,8.6927449262848,146,1,0.5454932079556626,16
303051074,Pallara - Willawong,QLD,Brisbane - South,8.650578830417563,147,1,0.44380615686668,22
316061439,Beerwah,QLD,Sunshine Coast,8.638380094641104,148,1,1.3054587551160899,22
503011035,Nedlands - Dalkeith - Crawley,WA,Perth - Inner,8.63344503178502,149,1,0.828695874383357,15
319041516,Booral - River Heads,QLD,Wide Bay,8.628977344904587,150,1,0.5350375813268765,22
407011148,Victor Harbor,SA,South Australia - South East,8.611410346271445,151,1,0.7167008871177288,22
212011551,Pakenham - South East,VIC,Melbourne - South East,8.597780547871032,152,1,2.6010430551857553,22
105031101,Dubbo - South,NSW,Far West and Orana,8.592030331601668,153,1,1.6857789031735475,19
102011032,Gosford - Springfield,NSW,Central Coast,8.531297574623038,154,1,1.0739338592790477,22
101021610,Googong,NSW,Capital Region,8.498441235298968,155,1,0.5013487566331357,21
206061516,South Yarra - South,VIC,Melbourne - Inner,8.498274296915806,156,1,4.210408172104033,19
120031396,Homebush,NSW,Sydney - Inner West,8.477161065344905,157,1,1.1318956229880464,22
206041117,Carlton,VIC,Melbourne - Inner,8.432060100933498,158,1,0.9259308316490588,20
311011305,Beaudesert,QLD,Logan - Beaudesert,8.358602634714856,159,1,0.5905086468129324,22
209011199,Heidelberg West,VIC,Melbourne - North East,8.329423989645345,160,1,0.42740678910762064,18
119041378,Kogarah,NSW,Sydney - Inner South West,8.320707844130407,161,1,0.6850657630882933,22
125021477,Ermington - Rydalmere,NSW,Sydney - Parramatta,8.315233145998114,162,1,0.913916324792089,20
125031481,Granville - Clyde,NSW,Sydney - Parramatta,8.305223015772329,163,1,1.0117167219762735,20
506041132,Beckenham - Kenwick - Langford,WA,Perth - South East,8.289941111822076,164,1,0.7522733317317218,21
309091541,Southport - South,QLD,Gold Coast,8.256128734278889,165,1,0.9390840787583933,21
504031066,Midland - Guildford,WA,Perth - North East,8.234282972202314,166,1,1.185180260686689,20
201011006,Delacombe,VIC,Ballarat,8.199281172712231,167,1,0.5711653669983633,22
310041304,Springfield Lakes,QLD,Ipswich,8.173894203663611,168,1,0.661115054922638,22
210041240,Sunbury,VIC,Melbourne - North West,8.154061515962034,169,1,0.503502494066024,21
309011227,Mermaid Beach - Broadbeach,QLD,Gold Coast,8.147584011561218,170,1,0.6735354700965586,20
401061022,Walkerville,SA,Adelaide - Central and Hills,8.13469838804106,171,1,1.3102166967462534,21
309021230,Coolangatta,QLD,Gold Coast,8.106169287468136,172,1,1.0714374714114,22
305031131,Wooloowin - Lutwyche,QLD,Brisbane Inner City,8.10366012126092,173,1,0.8380887725666687,21
127031523,Chipping Norton - Moorebank,NSW,Sydney - South West,8.08862965942911,174,1,0.5744851717585815,18
213041572,Cobblebank - Strathtulloh,VIC,Melbourne - West,7.964592865057736,175,1,0.555426067604713,19
125011586,Lidcombe,NSW,Sydney - Parramatta,7.927759197444389,176,1,1.0231739004726528,20
402031036,Enfield - Blair Athol,SA,Adelaide - North,7.922081542302502,177,1,0.40301333333333333,19
319041521,Urangan - Wondunna,QLD,Wide Bay,7.88723772530218,178,1,0.49430464379124733,22
209011200,Ivanhoe,VIC,Melbourne - North East,7.870844943440311,179,1,0.7665617297582451,20
506061142,Byford,WA,Perth - South East,7.8455537646193205,180,1,0.4075517142295637,22
209041436,South Morang - South,VIC,Melbourne - North East,7.837477929003645,181,1,0.5647160642905051,20
212011550,Pakenham - North West,VIC,Melbourne - South East,7.8075531399065605,182,1,0.5023978803434237,22
302031037,Eagle Farm - Pinkenba,QLD,Brisbane - North,7.797007878200377,183,1,1.6914774539964843,14
114011277,North Nowra - Bomaderry,NSW,Southern Highlands and Shoalhaven,7.790754556160578,184,1,0.9630298394782371,12
301021551,Southern Moreton Bay Islands,QLD,Brisbane - East,7.783541517569292,185,1,0.32745070956520234,22
313041376,Upper Caboolture,QLD,Moreton Bay - North,7.762767119050127,186,1,1.168625680124859,20
205031093,Wonthaggi - Inverloch,VIC,Latrobe - Gippsland,7.749870218870471,187,1,0.40567683346456584,22
125041589,Wentworthville - Westmead,NSW,Sydney - Parramatta,7.726009909101251,188,1,0.5811368583082194,22
111021217,Edgeworth - Cameron Park,NSW,Newcastle and Lake Macquarie,7.724920017299237,189,1,0.40180423888530453,22
115011553,Castle Hill - Central,NSW,Sydney - Baulkham Hills and Hawkesbury,7.723851341972598,190,1,1.0094521972846426,19
102021056,Warnervale - Wadalba,NSW,Central Coast,7.7214747893421976,191,1,0.4983907267149453,22
305021117,Morningside - Seven Hills,QLD,Brisbane Inner City,7.719244989956413,192,1,0.7468192345360506,22
309071251,Coomera,QLD,Gold Coast,7.630291530001258,193,1,0.8174867926427609,22
106011108,Cessnock,NSW,Hunter Valley exc Newcastle,7.60925484027949,194,1,0.4832562246679243,18
207031163,Box Hill,VIC,Melbourne - Inner East,7.583147370944471,195,1,0.5157280637073938,21
210041539,Diggers Rest,VIC,Melbourne - North West,7.579017754390377,196,1,0.5080030527260428,17
204031491,Baranduda - Leneva,VIC,Hume,7.5722542395540655,197,1,0.541651286380648,22
319031513,Gympie - South,QLD,Wide Bay,7.537035933873026,198,1,0.3615086843738142,22
318021470,Bohle Plains,QLD,Townsville,7.524624888900504,199,1,0.4621821360808424,22
404011096,West Lakes,SA,Adelaide - West,7.5111623877718605,200,1,1.0957428526029123,15
316061442,Landsborough,QLD,Sunshine Coast,7.493758229100678,201,1,0.5750727333635967,21
110011186,Armidale,NSW,New England and North West,7.481128835896502,202,1,0.7519237130382262,17
502011021,Dawesville - Bouvard,WA,Mandurah,7.473131605809344,203,1,0.3839642795733529,22
505021090,Nollamara - Westminster,WA,Perth - North West,7.47215497215416,204,1,0.5612186973037497,21
506041135,Huntingdale - Southern River,WA,Perth - South East,7.466883184418666,205,1,0.33256634727390605,22
319041520,Torquay - Scarness - Kawungan,QLD,Wide Bay,7.4072408477843865,206,1,0.7404169658864017,21
206051512,South Melbourne,VIC,Melbourne - Inner,7.4042227599994,207,1,0.7966109095630852,19
127021515,Fairfield,NSW,Sydney - South West,7.402146273710463,208,1,1.11255696486483,19
507011148,Banjup,WA,Perth - South West,7.4020706401855065,209,1,0.3384496528801091,22
202011025,White Hills - Ascot,VIC,Bendigo,7.383785221381974,210,1,0.4817128329371318,22
316021424,Wurtulla - Birtinya,QLD,Sunshine Coast,7.365744327168665,211,1,0.8532415738242309,20
106021616,Rutherford (South) - Telarah,NSW,Hunter Valley exc Newcastle,7.356331157557676,212,1,0.43435271642375667,20
309071554,Pimpama - North,QLD,Gold Coast,7.343291611746453,213,1,0.42656322931125457,18
206011495,Brunswick - North,VIC,Melbourne - Inner,7.3294088052064055,214,1,1.012048250388906,20
302031040,Nundah,QLD,Brisbane - North,7.302708313989157,215,1,0.8493956163412326,21
208031191,Moorabbin - Heatherton,VIC,Melbourne - Inner South,7.300582549016308,216,1,0.5781583857541035,20
506031124,Bentley - Wilson - St James,WA,Perth - South East,7.2859295601835985,217,1,0.5364190267492503,18
309011229,Miami,QLD,Gold Coast,7.276922325736821,218,1,0.480972781944393,22
401041015,Paradise - Newton,SA,Adelaide - Central and Hills,7.271489230119745,219,1,0.5819349845207569,20
213011337,Sunshine North,VIC,Melbourne - West,7.266949904087755,220,1,0.725123160612221,17
301021009,Redland Bay,QLD,Brisbane - East,7.260722543129547,221,1,0.5102101994039355,22
127011727,Gledswood Hills - Gregory Hills,NSW,Sydney - South West,7.256571461435825,222,1,0.4778869377540422,15
206051130,Port Melbourne,VIC,Melbourne - Inner,7.245425519243845,223,1,1.216492007915974,18
404031107,Plympton,SA,Adelaide - West,7.221564418390789,224,1,0.365911493576946,22
310031293,Raceview,QLD,Ipswich,7.201102915248379,225,1,0.8352051058871389,17
213041573,Eynesbury - Exford,VIC,Melbourne - West,7.185247628233443,226,1,0.39994130372849424,20
402011025,Gawler - North,SA,Adelaide - North,7.138054036544545,227,1,0.6618617563125032,22
212021554,Berwick - South West,VIC,Melbourne - South East,7.131083252556646,228,1,0.44979459274294653,22
319041518,Pialba - Eli Waters,QLD,Wide Bay,7.109036030323172,229,1,0.32974354065433475,22
504031068,The Vines,WA,Perth - North East,7.077482640606777,230,1,0.2577802062308625,22
308051531,Boyne Island - Tannum Sands,QLD,Central Queensland,7.049044366855184,231,1,0.9929299565348064,21
207031161,Blackburn,VIC,Melbourne - Inner East,7.028465595396194,232,1,0.4955177086836031,19
403011057,Glenelg (SA),SA,Adelaide - South,7.026875914740135,233,1,0.5945079378664189,19
313041375,Narangba,QLD,Moreton Bay - North,7.00943363668481,234,1,0.33195173486866447,22
507051191,Singleton - Golden Bay - Secret Harbour,WA,Perth - South West,6.986685181714798,235,1,0.3775625330062859,22
404011091,Flinders Park,SA,Adelaide - West,6.9635992461986715,236,1,0.40148898739409367,22
502011029,Pinjarra,WA,Mandurah,6.962497065417817,237,1,0.4200473126931146,22
127031731,Liverpool - East,NSW,Sydney - South West,6.961310208049725,238,1,0.9328605128101051,22
313051575,Scarborough - Newport,QLD,Moreton Bay - North,6.953703567489707,239,1,0.6198677564176885,21
310041299,Collingwood Park - Redbank,QLD,Ipswich,6.941173601621462,240,1,0.28043499541932604,22
212031558,Cranbourne East - South,VIC,Melbourne - South East,6.930651538128572,241,1,0.3166551249813498,22
124031462,Kingswood - Werrington,NSW,Sydney - Outer West and Blue Mountains,6.913715951866217,242,1,0.3990486648627676,19
314011382,Albany Creek,QLD,Moreton Bay - South,6.9131130844673265,243,1,0.7441256653761549,16
213051466,Point Cook - South,VIC,Melbourne - West,6.828463343707285,244,1,0.705522331670584,21
206071142,Fitzroy,VIC,Melbourne - Inner,6.810760684261453,245,1,0.3245580721056827,18
106011111,Kurri Kurri - Abermain,NSW,Hunter Valley exc Newcastle,6.8076894248533115,246,1,0.3634257991975838,21
318021471,Condon - Rasmussen,QLD,Townsville,6.802981108652134,247,1,0.9959715940898275,20
304031094,Indooroopilly,QLD,Brisbane - West,6.783837186815054,248,1,0.6406503018939286,21
401041016,Rostrevor - Magill,SA,Adelaide - Central and Hills,6.765370833714346,249,1,0.39125489195766117,22
212041460,Noble Park - West,VIC,Melbourne - South East,6.763328385133437,250,1,0.8348960294092272,16
108041162,Laurieton - Bonny Hills,NSW,Mid North Coast,6.7277508811896505,251,1,0.5135682224537595,22
119011657,Panania (North) - Milperra,NSW,Sydney - Inner South West,6.7142088348590585,252,1,0.6207769245025961,17
122031696,Frenchs Forest - Oxford Falls,NSW,Sydney - Northern Beaches,6.668023355309327,253,1,0.8304054825458481,18
403041083,McLaren Vale,SA,Adelaide - South,6.658621144528554,254,1,0.4098798497518953,22
504031061,Hazelmere - Guildford,WA,Perth - North East,6.651436738942172,255,1,0.24777125569707667,22
403021064,Warradale,SA,Adelaide - South,6.645137280600813,256,1,0.361357272085686,20
207021157,Doncaster,VIC,Melbourne - Inner East,6.632926027003773,257,1,0.31882354916456346,21
402011027,Lewiston - Two Wells,SA,Adelaide - North,6.63069427141612,258,1,0.3360962257441956,22
119041381,Rockdale - Banksia,NSW,Sydney - Inner South West,6.621832899241609,259,1,0.40155465666849166,17
212051326,Oakleigh - Huntingdale,VIC,Melbourne - South East,6.6070660957152,260,1,0.39290725796513615,21
210031538,Pascoe Vale,VIC,Melbourne - North West,6.600315426543715,261,1,0.5023423378573109,19
125031484,Guildford West - Merrylands West,NSW,Sydney - Parramatta,6.541598605829983,262,1,0.31116546945358853,21
104011082,Maclean - Yamba - Iluka,NSW,Coffs Harbour - Grafton,6.531363520210117,263,1,0.547822551511506,22
106031125,Williamtown - Medowie - Karuah,NSW,Hunter Valley exc Newcastle,6.529544434770574,264,1,0.3730911065763084,21
121011685,Greenwich - Riverview,NSW,Sydney - North Sydney and Hornsby,6.5236889192691105,265,1,0.9973009446788128,10
205011076,Drouin,VIC,Latrobe - Gippsland,6.51016128097458,266,1,0.3086159546995839,22
501011004,Margaret River,WA,Bunbury,6.486101330231838,267,1,0.3983956728595667,22
213041353,Bacchus Marsh,VIC,Melbourne - West,6.483018249343838,268,1,0.3313285120759118,22
302041045,Taigum - Fitzgibbon,QLD,Brisbane - North,6.477852159651753,269,1,0.7677179807437167,22
313021573,Caboolture - West,QLD,Moreton Bay - North,6.4766122728224325,270,1,0.2706217531992135,20
213021343,Altona North,VIC,Melbourne - West,6.458338595066154,271,1,0.4338382469333509,15
309061248,Nerang - Mount Nathan,QLD,Gold Coast,6.457239677133505,272,1,0.6930557758934279,19
309071557,Upper Coomera - North,QLD,Gold Coast,6.4561925093199966,273,1,0.6021558106351015,22
504031058,Bullsbrook,WA,Perth - North East,6.449994236580382,274,1,0.3080841859042814,22
319031512,Gympie - North,QLD,Wide Bay,6.444604832521979,275,1,0.680846991055203,21
109011172,Albury - East,NSW,Murray,6.4296710341304655,276,1,0.2825245341839823,22
309031238,Labrador,QLD,Gold Coast,6.429093298892675,277,1,0.8538511339323309,19
213031347,Braybrook,VIC,Melbourne - West,6.425104080764019,278,1,0.2837624019579166,21
213011334,St Albans - North,VIC,Melbourne - West,6.4250174182337165,279,1,0.656549589606037,16
502011024,Halls Head - Erskine,WA,Mandurah,6.399696465524434,280,1,0.5188661069812055,22
212031304,Cranbourne West,VIC,Melbourne - South East,6.352398591979093,281,1,0.5751806919993303,22
